Character Index,Character
48,0
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58, 
59,!
60,""""
61,#
62,$
63,%
64,&
65,'
66,(
67,)
68,*
69,+
70,","
71,-
72,.
73,/
74,:
75,;
76,<
77,=
78,>
79,?
80,A
81,B
82,C
83,D
84,E
85,F
86,G
87,H
88,I
89,J
90,K
91,L
92,M
93,N
94,O
95,P
96,Q
97,R
98,S
99,T
100,U
101,V
102,W
103,X
104,Y
105,Z
106,[
107,\
108,]
109,^
110,_
111,`
112,a
113,b
114,c
115,d
116,e
117,f
118,g
119,h
120,i
121,j
122,k
123,l
124,m
125,n
126,o
127,p
128,q
129,r
130,s
131,t
132,u
133,v
134,w
135,x
136,y
137,z
138,{
139,|
140,}
